id,title,date,location,establishment_type,casualties,property_loss,cause,description,control_extinguishment,suppression_mitigation,evacuation_rescue,source_type,hazard_category
1,Incident 01: Mundka Commercial Building Fire - New Delhi,13 May 2022,"Mundka, Outer West Delhi, Delhi","Four-storey commercial building (offices, CCTV camera & router manufacturing)",27 killed | 40+ injured | 50+ rescued,"Approx. Rs 5-8 Crore | Office equipment, CCTV manufacturing machinery, inventory, entire building structure","Short circuit on the first floor combined with highly combustible materials (plastic casing, wires, electronics). Building lacked a fire NOC or extinguishers.",Fire originated on the first floor and spread rapidly upward through plastic and electronic materials. Narrow staircases prevented evacuation. DNA profiling was required to identify charred bodies.,Over 30 fire tenders were deployed by the Delhi Fire Service; continuous water jetting took several hours to completely douse the fire.,Main electrical power lines were isolated to prevent secondary arc fires. Delhi Police registered a criminal case of culpable homicide and arrested the building owners.,Emergency responders used ladders and ropes. A local crane operator brought his vehicle to the site and saved over 50 people trapped on the upper floors.,domestic_india,structural_fire
2,Incident 02: Jabalpur New Life Multispecialty Hospital Fire - Madhya Pradesh,01 August 2022,"Jabalpur, Madhya Pradesh",Private multi-speciality hospital,8 killed | Several injured,"Approx. Rs 2-3 Crore | Hospital equipment, ICU infrastructure, medical inventory, ward furnishings",Electrical short circuit; compounded by non-compliance with fire safety and building codes.,Fire erupted late at night when patients were asleep. Oxygen-rich environment accelerated the blaze through corridors. Most victims died of smoke inhalation and burns.,Fire tenders from Jabalpur Municipal Corporation fought intense flames inside corridors using high-pressure hose lines.,Hospital electrical mains and medical gas supplies were shut off to starve the fire. State government ordered a high-level inquiry into safety code violations.,Rescuers and bystanders smashed glass windows to vent dense smoke. Patients were evacuated through a single narrow emergency exit and ground-floor windows.,domestic_india,structural_fire
3,Incident 03: Secunderabad Hotel Ruby Lounge & Bike Showroom Fire - Telangana,13 September 2022,"Secunderabad, Hyderabad, Telangana",Hotel cum entertainment venue with attached commercial motorcycle showroom,8 killed | Several rescued,"Approx. Rs 3-5 Crore | Hotel infrastructure, vehicles, commercial inventory, lounge equipment",Suspected electrical short circuit; fire spread aggravated by fuel and combustible furnishings.,Fire started in the lower commercial showroom zone containing electric bikes/fuel-laden vehicles and rapidly moved upward through the occupied hotel floors.,Multiple fire tenders from Telangana State Disaster Response and Fire Services deployed water and foam streams to extinguish flames exacerbated by battery packs and fuel.,Power supply isolated; remaining electric vehicles cooled to prevent thermal runaway propagation; police questioned owners over NOC compliance.,Firefighters deployed hydraulic platforms and turntable ladders to rescue occupants trapped on balconies and upper-floor rooms.,domestic_india,structural_fire
4,"Incident 04: Swapnalok Complex Fire - Secunderabad, Telangana",08 December 2022,"Secunderabad, Hyderabad, Telangana",Multi-storey commercial shopping complex,6 killed | Several injured,"Approx. Rs 10-15 Crore | Commercial shop inventory, office equipment, building infrastructure",Suspected short circuit in lower floors.,"Flames spread upward through narrow passages packed with commercial stock, filling internal corridors with thick toxic smoke.",12+ fire engines deployed water cannons and specialized foam tenders; firefighting lasted over 5 hours.,Building grid power disconnected; high-expansion foam and smoke blowers deployed to clear internal corridors.,Snorkel ladders and hydraulic platforms were positioned along outer walls to rescue workers trapped on top storeys; firefighters broke window glass to release smoke.,domestic_india,structural_fire
5,Incident 05: Rohini Hospital Fire (Oxygen Supply Snapped) - New Delhi,11 June 2022,"Rohini, New Delhi",Private hospital,1 killed (oxygen deprivation) | Multiple patients evacuated,"Approx. Rs 50 Lakh - 1 Crore | Electrical systems, oxygen supply lines, medical equipment","Electrical short circuit in power distribution section, severing critical oxygen supply lines to the ICU.","Fire was localized to the electrical room, but the resulting electrical failure disrupted oxygen systems, putting ICU patients on life support at immediate fatal risk.",Delhi Fire Service deployed 5 fire tenders and controlled the fire within an hour.,Electrical feeds isolated; staff manually switched patients to standalone portable oxygen cylinders.,Emergency personnel and medical staff swiftly evacuated ICU and ward patients to adjacent healthcare facilities via fleets of ambulances.,domestic_india,structural_fire
6,Incident 06: Gokulpuri Shantytown Fire - Northeast Delhi,March 2022,"Gokulpuri, Northeast Delhi",Residential shanty cluster / JJ colony,7 killed | Multiple injured,"Approx. Rs 50 Lakh | 30 shanties completely gutted, personal belongings, structures",Suspected electrical short circuit or cooking fire during early morning hours.,"Fire spread violently across closely packed shanties constructed from plastic, wood, and tarpaulin sheets, driven by early morning winds.","13 fire tenders rushed to the location, extinguishing the fire in 2-3 hours using continuous water jets.",Cooking LPG cylinders pulled away from the flames to prevent secondary explosions; temporary shelters set up for displaced families.,"Neighbors and police officers rushed through the informal settlement, waking sleeping residents and pulling families to safety before structures collapsed.",domestic_india,structural_fire
7,"Incident 07: RC Hazra Memorial Hospital Fire - Dhanbad, Jharkhand",28 January 2023,"Bank More Area, Dhanbad, Jharkhand",Private hospital / nursing home,5-6 killed (including doctor couple Dr. & Mrs. Hazra) | Several hospitalized,"Approx. Rs 1-2 Crore | Medical equipment, pharmacy, records, building structure",Short circuit in early hours; lack of functional suppression systems inside corridors.,"Fire broke out when staff presence was minimal. Smoke filled the corridors and attached doctor's quarters rapidly, causing fatalities due to suffocation.",Local fire brigade deployed water tenders to douse flames originating in the residential/hospital complex.,Power and medical gas lines isolated; Jharkhand High Court took suo motu cognizance to mandate fire safety reviews.,Rescue teams used external ladders to enter upper residential rooms and pulled unconscious occupants out for emergency resuscitation.,domestic_india,structural_fire
8,"Incident 08: Ashirwad Tower Apartment Fire - Dhanbad, Jharkhand",31 January 2023,"Joraphatak Area, Dhanbad, Jharkhand",Multi-storey residential apartment building,"14 killed (10 women, 3 children, 1 man) | 18+ hospitalized","Approx. Rs 3-5 Crore | Residential apartments, household possessions, building structure",Suspected short circuit on the second floor during a wedding gathering.,"Fire erupted on the second floor and raced upward through the vertical shaft and corridors, trapping dozens of wedding guests inside upper-floor flats.",Over 10 fire tenders fought the blaze for several hours using high-pressure hose streams.,Mains utilities disconnected; Jharkhand High Court ordered a comprehensive statewide residential fire safety audit.,"Firefighters, police, and local residents rescued 18+ people using ladders, stairwell clearings, and rooftop access routes.",domestic_india,structural_fire
9,"Incident 09: Attibele Fireworks Shop Blast - Bengaluru, Karnataka",July 2023,"Attibele, Bengaluru, Karnataka",Fireworks shop cum illegal storage facility (505 sq. m premises),13 killed | Multiple injured,"Approx. Rs 1-2 Crore | Fireworks stock, manufacturing equipment, building structure","Friction-induced ignition or heat build-up during unloading in an illegal, oversized facility combining sales and chemical processing.","Initial blast ignited massive stockpiles of oxidizers and finished pyrotechnics, triggering a catastrophic chain of explosions that destroyed the building.",Fire engines from Bengaluru and Hosur sprayed water and chemical foam continuously to douse residual chemical fires.,Cordon established to protect emergency crews from unexploded materials; PESO launched formal technical investigations into structural violations.,Rescue teams operated heavy earthmovers to clear collapsed concrete slabs and extract trapped factory workers.,domestic_india,structural_fire
10,"Incident 10: Brahmapuram Waste Dump Fire - Kochi, Kerala",March 2023,"Brahmapuram, Kochi, Kerala",Municipal solid waste dump / landfill,No direct deaths | Thousands affected by smoke inhalation and respiratory illness,"Approx. Rs 5-10 Crore | Firefighting operations, municipal infrastructure, health damage",Spontaneous combustion of dry plastic/organic waste fueled by decomposing methane gas.,"Raged for over eight days across acres of piled waste, generating a massive toxic smoke plume that covered Kochi city.","Operation lasted 10+ days involving 20+ fire tenders, Navy/IAF helicopters with Bambi buckets, and high-capacity water pumps.",Drenching deep waste layers with water and chemical foam; placing layers of dirt over smoldering pockets; issuing municipal mask advisories.,"No structural evacuation needed, but medical camps were established; vulnerable residents voluntarily relocated away from toxic smoke zones.",domestic_india,structural_fire
